audio_file,true_scene,ae_prediction,as_prediction,inconsistency_type,event_name,probability
public_square-vienna-122-3614-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Background music,0.2
public_square-vienna-122-3614-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Environmental sounds,0.2
public_square-vienna-124-3685-a.wav,public_square,street_pedestrian,public_square,AE:street_pedestrian vs AS:public_square,Ambient music,0.3
public_square-vienna-124-3685-a.wav,public_square,street_pedestrian,public_square,AE:street_pedestrian vs AS:public_square,Background music,0.2
public_square-vienna-124-3685-a.wav,public_square,street_pedestrian,public_square,AE:street_pedestrian vs AS:public_square,Environmental sounds,0.2
public_square-stockholm-252-7555-a.wav,public_square,airport,public_square,AE:airport vs AS:public_square,Ambient music,0.3
public_square-stockholm-252-7555-a.wav,public_square,airport,public_square,AE:airport vs AS:public_square,Background music,0.2
public_square-stockholm-252-7555-a.wav,public_square,airport,public_square,AE:airport vs AS:public_square,Environmental sounds,0.2
public_square-lyon-1056-40449-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Ambient music,0.3
public_square-lyon-1056-40449-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Background music,0.2
public_square-lyon-1056-40449-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Environmental sounds,0.2
public_square-stockholm-119-3515-a.wav,public_square,public_square,street_traffic,AE:public_square vs AS:street_traffic,Ambient music,0.3
public_square-stockholm-119-3515-a.wav,public_square,public_square,street_traffic,AE:public_square vs AS:street_traffic,Background music,0.2
public_square-stockholm-119-3515-a.wav,public_square,public_square,street_traffic,AE:public_square vs AS:street_traffic,Environmental sounds,0.2
metro-barcelona-41-1253-a.wav,metro,bus,metro,AE:bus vs AS:metro,Ambient music,0.3
metro-barcelona-41-1253-a.wav,metro,bus,metro,AE:bus vs AS:metro,Background music,0.2
metro-barcelona-41-1253-a.wav,metro,bus,metro,AE:bus vs AS:metro,Environmental sounds,0.2
metro-barcelona-220-6635-a.wav,metro,bus,metro,AE:bus vs AS:metro,Ambient music,0.3
metro-barcelona-220-6635-a.wav,metro,bus,metro,AE:bus vs AS:metro,Background music,0.2
metro-barcelona-220-6635-a.wav,metro,bus,metro,AE:bus vs AS:metro,Environmental sounds,0.2
metro-barcelona-42-1289-a.wav,metro,bus,metro,AE:bus vs AS:metro,Ambient music,0.3
metro-barcelona-42-1289-a.wav,metro,bus,metro,AE:bus vs AS:metro,Background music,0.2
metro-barcelona-42-1289-a.wav,metro,bus,metro,AE:bus vs AS:metro,Environmental sounds,0.2
metro-vienna-59-1768-a.wav,metro,metro,tram,AE:metro vs AS:tram,Ambient music,0.3
metro-vienna-59-1768-a.wav,metro,metro,tram,AE:metro vs AS:tram,Background music,0.2
metro-vienna-59-1768-a.wav,metro,metro,tram,AE:metro vs AS:tram,Environmental sounds,0.2
metro-barcelona-220-6662-a.wav,metro,bus,metro,AE:bus vs AS:metro,Ambient music,0.3
metro-barcelona-220-6662-a.wav,metro,bus,metro,AE:bus vs AS:metro,Background music,0.2
metro-barcelona-220-6662-a.wav,metro,bus,metro,AE:bus vs AS:metro,Environmental sounds,0.2
shopping_mall-lisbon-1176-45042-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Ambient music,0.3
shopping_mall-lisbon-1176-45042-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Background music,0.2
shopping_mall-lisbon-1176-45042-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Environmental sounds,0.2
shopping_mall-paris-134-4063-a.wav,shopping_mall,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Ambient music,0.3
shopping_mall-paris-134-4063-a.wav,shopping_mall,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Background music,0.2
shopping_mall-paris-134-4063-a.wav,shopping_mall,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Environmental sounds,0.2
shopping_mall-london-256-7755-a.wav,shopping_mall,metro_station,shopping_mall,AE:metro_station vs AS:shopping_mall,Ambient music,0.3
shopping_mall-london-256-7755-a.wav,shopping_mall,metro_station,shopping_mall,AE:metro_station vs AS:shopping_mall,Background music,0.2
shopping_mall-london-256-7755-a.wav,shopping_mall,metro_station,shopping_mall,AE:metro_station vs AS:shopping_mall,Environmental sounds,0.2
shopping_mall-vienna-139-4232-a.wav,shopping_mall,shopping_mall,airport,AE:shopping_mall vs AS:airport,Ambient music,0.3
shopping_mall-vienna-139-4232-a.wav,shopping_mall,shopping_mall,airport,AE:shopping_mall vs AS:airport,Background music,0.2
shopping_mall-vienna-139-4232-a.wav,shopping_mall,shopping_mall,airport,AE:shopping_mall vs AS:airport,Environmental sounds,0.2
shopping_mall-lisbon-1176-44242-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Ambient music,0.3
shopping_mall-lisbon-1176-44242-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Background music,0.2
shopping_mall-lisbon-1176-44242-a.wav,shopping_mall,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Environmental sounds,0.2
airport-london-6-276-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Ambient music,0.3
airport-london-6-276-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Background music,0.2
airport-london-6-276-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Environmental sounds,0.2
airport-barcelona-1-40-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Ambient music,0.3
airport-barcelona-1-40-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Background music,0.2
airport-barcelona-1-40-a.wav,airport,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Environmental sounds,0.2
airport-paris-206-6268-a.wav,airport,airport,metro_station,AE:airport vs AS:metro_station,Ambient music,0.3
airport-paris-206-6268-a.wav,airport,airport,metro_station,AE:airport vs AS:metro_station,Background music,0.2
airport-paris-206-6268-a.wav,airport,airport,metro_station,AE:airport vs AS:metro_station,Environmental sounds,0.2
airport-stockholm-12-501-a.wav,airport,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Ambient music,0.3
airport-stockholm-12-501-a.wav,airport,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Background music,0.2
airport-stockholm-12-501-a.wav,airport,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Environmental sounds,0.2
airport-barcelona-203-6128-a.wav,airport,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Ambient music,0.3
airport-barcelona-203-6128-a.wav,airport,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Background music,0.2
airport-barcelona-203-6128-a.wav,airport,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Environmental sounds,0.2
park-prague-1092-42204-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Ambient music,0.3
park-prague-1092-42204-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Background music,0.2
park-prague-1092-42204-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Environmental sounds,0.2
park-lyon-1144-41676-a.wav,park,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Ambient music,0.3
park-lyon-1144-41676-a.wav,park,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Background music,0.2
park-lyon-1144-41676-a.wav,park,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Environmental sounds,0.2
park-prague-1185-45741-a.wav,park,public_square,park,AE:public_square vs AS:park,Music,0.4820556581916668
park-prague-1185-44690-a.wav,park,public_square,park,AE:public_square vs AS:park,Ambient music,0.3
park-prague-1185-44690-a.wav,park,public_square,park,AE:public_square vs AS:park,Background music,0.2
park-prague-1185-44690-a.wav,park,public_square,park,AE:public_square vs AS:park,Environmental sounds,0.2
park-barcelona-241-7162-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Ambient music,0.3
park-barcelona-241-7162-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Background music,0.2
park-barcelona-241-7162-a.wav,park,park,street_traffic,AE:park vs AS:street_traffic,Environmental sounds,0.2
tram-prague-1184-44141-a.wav,tram,tram,metro,AE:tram vs AS:metro,Ambient music,0.3
tram-prague-1184-44141-a.wav,tram,tram,metro,AE:tram vs AS:metro,Background music,0.2
tram-prague-1184-44141-a.wav,tram,tram,metro,AE:tram vs AS:metro,Environmental sounds,0.2
tram-stockholm-283-8562-a.wav,tram,tram,metro,AE:tram vs AS:metro,Ambient music,0.3
tram-stockholm-283-8562-a.wav,tram,tram,metro,AE:tram vs AS:metro,Background music,0.2
tram-stockholm-283-8562-a.wav,tram,tram,metro,AE:tram vs AS:metro,Environmental sounds,0.2
tram-prague-1210-44352-a.wav,tram,metro,tram,AE:metro vs AS:tram,Ambient music,0.3
tram-prague-1210-44352-a.wav,tram,metro,tram,AE:metro vs AS:tram,Background music,0.2
tram-prague-1210-44352-a.wav,tram,metro,tram,AE:metro vs AS:tram,Environmental sounds,0.2
tram-lyon-1093-42804-a.wav,tram,metro_station,metro,AE:metro_station vs AS:metro,Ambient music,0.3
tram-lyon-1093-42804-a.wav,tram,metro_station,metro,AE:metro_station vs AS:metro,Background music,0.2
tram-lyon-1093-42804-a.wav,tram,metro_station,metro,AE:metro_station vs AS:metro,Environmental sounds,0.2
tram-milan-1158-43737-a.wav,tram,metro,tram,AE:metro vs AS:tram,Ambient music,0.3
tram-milan-1158-43737-a.wav,tram,metro,tram,AE:metro vs AS:tram,Background music,0.2
tram-milan-1158-43737-a.wav,tram,metro,tram,AE:metro vs AS:tram,Environmental sounds,0.2
bus-vienna-219-6616-a.wav,bus,bus,tram,AE:bus vs AS:tram,Ambient music,0.3
bus-vienna-219-6616-a.wav,bus,bus,tram,AE:bus vs AS:tram,Background music,0.2
bus-vienna-219-6616-a.wav,bus,bus,tram,AE:bus vs AS:tram,Environmental sounds,0.2
bus-milan-1115-40248-a.wav,bus,bus,metro,AE:bus vs AS:metro,Ambient music,0.3
bus-milan-1115-40248-a.wav,bus,bus,metro,AE:bus vs AS:metro,Background music,0.2
bus-milan-1115-40248-a.wav,bus,bus,metro,AE:bus vs AS:metro,Environmental sounds,0.2
bus-stockholm-36-1065-a.wav,bus,tram,metro,AE:tram vs AS:metro,Ambient music,0.3
bus-stockholm-36-1065-a.wav,bus,tram,metro,AE:tram vs AS:metro,Background music,0.2
bus-stockholm-36-1065-a.wav,bus,tram,metro,AE:tram vs AS:metro,Environmental sounds,0.2
bus-stockholm-36-1086-a.wav,bus,tram,bus,AE:tram vs AS:bus,Ambient music,0.3
bus-stockholm-36-1086-a.wav,bus,tram,bus,AE:tram vs AS:bus,Background music,0.2
bus-stockholm-36-1086-a.wav,bus,tram,bus,AE:tram vs AS:bus,Environmental sounds,0.2
bus-lyon-1129-43409-a.wav,bus,tram,bus,AE:tram vs AS:bus,Ambient music,0.3
bus-lyon-1129-43409-a.wav,bus,tram,bus,AE:tram vs AS:bus,Background music,0.2
bus-lyon-1129-43409-a.wav,bus,tram,bus,AE:tram vs AS:bus,Environmental sounds,0.2
street_traffic-helsinki-166-5110-a.wav,street_traffic,street_traffic,bus,AE:street_traffic vs AS:bus,Ambient music,0.3
street_traffic-helsinki-166-5110-a.wav,street_traffic,street_traffic,bus,AE:street_traffic vs AS:bus,Background music,0.2
street_traffic-helsinki-166-5110-a.wav,street_traffic,street_traffic,bus,AE:street_traffic vs AS:bus,Environmental sounds,0.2
street_traffic-lisbon-1076-43662-a.wav,street_traffic,park,street_traffic,AE:park vs AS:street_traffic,Ambient music,0.3
street_traffic-lisbon-1076-43662-a.wav,street_traffic,park,street_traffic,AE:park vs AS:street_traffic,Background music,0.2
street_traffic-lisbon-1076-43662-a.wav,street_traffic,park,street_traffic,AE:park vs AS:street_traffic,Environmental sounds,0.2
street_traffic-milan-1202-44428-a.wav,street_traffic,metro_station,street_pedestrian,AE:metro_station vs AS:street_pedestrian,Ambient music,0.3
street_traffic-milan-1202-44428-a.wav,street_traffic,metro_station,street_pedestrian,AE:metro_station vs AS:street_pedestrian,Background music,0.2
street_traffic-milan-1202-44428-a.wav,street_traffic,metro_station,street_pedestrian,AE:metro_station vs AS:street_pedestrian,Environmental sounds,0.2
street_traffic-paris-172-5278-a.wav,street_traffic,public_square,street_traffic,AE:public_square vs AS:street_traffic,Ambient music,0.3
street_traffic-paris-172-5278-a.wav,street_traffic,public_square,street_traffic,AE:public_square vs AS:street_traffic,Background music,0.2
street_traffic-paris-172-5278-a.wav,street_traffic,public_square,street_traffic,AE:public_square vs AS:street_traffic,Environmental sounds,0.2
street_traffic-stockholm-273-8322-a.wav,street_traffic,bus,street_traffic,AE:bus vs AS:street_traffic,Ambient music,0.3
street_traffic-stockholm-273-8322-a.wav,street_traffic,bus,street_traffic,AE:bus vs AS:street_traffic,Background music,0.2
street_traffic-stockholm-273-8322-a.wav,street_traffic,bus,street_traffic,AE:bus vs AS:street_traffic,Environmental sounds,0.2
