Filename,Description
street_pedestrian-helsinki-146-4426-a.wav,"This is a low quality recording featuring a wide synth pad progression played over quiet, muffled drums and a simple bassline. There is also some crowd chattering in the background. The pad progression has a calming and relaxing aura to it."
tram-stockholm-199-5992-a.wav,It is the sound of a vehicle moving.
metro_station-helsinki-64-1931-a.wav,This is a video game sound. There is a subway train running on railroad tracks passing by with a hissing noise.
metro-milan-1197-44844-a.wav,A vehicle engine is idling.
metro-milan-1218-45486-a.wav,It is the sound of a vehicle engine idling.
shopping_mall-lisbon-1176-45292-a.wav,This is the sound of an urban environment during the daytime. There is the hum of a bus passing by and the background noise of people talking and footsteps.
park-stockholm-101-2873-a.wav,This is a recording of birds chirping in a forest.
street_pedestrian-lisbon-1098-43541-a.wav,This is a live recording. There is a crowd in the distance murmuring softly. A jazz band can be heard playing in the background with a saxophone solo in the foreground. The atmosphere is lively yet quiet at the same time.
metro-prague-1113-42286-a.wav,It is the sound of a vehicle engine idling.
metro-lyon-1149-42577-a.wav,People are murmuring in the distance.
bus-milan-1154-41234-a.wav,An engine is idling nearby.
tram-lisbon-1035-40155-a.wav,This is the sound of a train moving on railroad tracks passing by.
shopping_mall-lyon-1196-44307-a.wav,This is a low quality recording with ambient noise of people talking in the background. There is also the sound of a vehicle engine idling.
metro_station-london-69-2026-a.wav,"This is the sound of a crowd in a restaurant. There are multiple people talking with each other, and some of them are men while others are women. The atmosphere sounds lively and social."
metro_station-london-76-2108-a.wav,It is the sound of a subway train running on railroad tracks passing by.
street_traffic-barcelona-162-4963-a.wav,It is an ambient experimental electronic piece creating a dark meditative soundscape with a synthesizer and a guitar.
park-milan-1063-43680-a.wav,The sound is of a car engine idling loudly.
tram-lyon-1103-41892-a.wav,This is the sound of a cash register being used.
shopping_mall-paris-132-3992-a.wav,This is the sound of people walking in a crowded area.
airport-lyon-1169-45628-a.wav,This is a sound of a horse and carriage.
park-milan-1063-41127-a.wav,The sound is of a car engine idling loudly.
street_traffic-helsinki-164-5033-a.wav,The low quality recording features a vehicle engine revving and tires squealing as a bus approaches and passes by. There are some birds chirping in the background. It sounds like it was recorded with a phone.
metro-lisbon-1119-40339-a.wav,"This is an experimental ambient electronic piece with synthesizers and a drum machine. The atmosphere is dark and soundscape-like, suitable for a film soundtrack."
metro-barcelona-220-6661-a.wav,It is the sound of an elevator moving between floors.
shopping_mall-lyon-1066-42185-a.wav,"It is the sound of people walking in a large open area, such as an arena or airport."
airport-stockholm-207-6309-a.wav,A crowd of people are murmuring in the distance.
metro_station-london-73-2070-a.wav,An electric rotor drone is flying in the air.
metro-helsinki-45-1364-a.wav,"It is the sound of rail transport, a subway or metro."
airport-milan-1061-41111-a.wav,"This is the sound of a non-motorized land vehicle, specifically a skateboard, being used on a hard surface, possibly a street."
metro_station-lisbon-1020-42471-a.wav,It is the sound of an engine idling loudly.
shopping_mall-milan-1049-42191-a.wav,"A large, busy room such as a kitchen or a bar."
shopping_mall-barcelona-126-3754-a.wav,It is a crowded indoor environment where people are having conversations.
metro-prague-1016-42329-a.wav,It is the sound of a train moving on railroad tracks passing by and a bell ringing.
airport-lisbon-1175-45732-a.wav,"This is the sound of a non-motorized land vehicle, possibly a bicycle, with a chain-driven mechanism."
park-lyon-1060-43640-a.wav,"This is a recording of a park. There are children playing, birds chirping, and people walking by."
park-london-95-2650-a.wav,The sound is of birds chirping in the distance.
tram-vienna-200-6014-a.wav,It is the sound of a bus moving on the road.
metro_station-barcelona-229-6891-a.wav,The sound is that of a train passing by quickly.
metro_station-prague-1019-44023-a.wav,residential area
public_square-london-114-3317-a.wav,This is the recording of a magic trick performance. There is a male magician speaking in an instructive manner over the sound of audience members murmuring in the background.
metro_station-lisbon-1221-44551-a.wav,It is the sound of a vehicle engine idling.
metro_station-stockholm-84-2269-a.wav,"It is an ambient experimental electronic piece creating a dark meditative soundscape with synthesizer and bass, drums in the background, and an electric guitar."
tram-prague-1189-45367-a.wav,It is the sound of a bus moving and stopping.
park-barcelona-90-2491-a.wav,The sound is of birds chirping and a gun firing.
park-prague-1092-43090-a.wav,This is the sound of a car driving on a wet road.
tram-london-189-5823-a.wav,This is the sound of a bus moving on the road.
metro-paris-54-1598-a.wav,It is the sound of a subway train running on railroad tracks passing by.
street_pedestrian-paris-265-8036-a.wav,"This is a low quality, noisy recording of people talking in a large room."
park-lisbon-1104-40699-a.wav,This is a sound from a park.
metro_station-stockholm-85-2318-a.wav,It is a telephone ringtone.
street_pedestrian-vienna-160-4893-a.wav,This is the sound of a crowd in a public space.
metro_station-stockholm-239-7096-a.wav,"This is the sound of someone walking through a crowded area. There are many people talking and moving around, creating a bustling environment."
metro-lisbon-1148-42566-a.wav,"An electronic hum is ongoing, and there are several instances of a woman speaking."
tram-helsinki-276-8417-a.wav,It is the sound of a vehicle engine idling.
airport-milan-1172-45505-a.wav,This is the sound of people talking in a crowded indoor location such as a mall or a busy restaurant.
airport-milan-1061-40679-a.wav,residential area
street_pedestrian-lisbon-1098-41536-a.wav,This is the sound of a crowded indoor location.
metro-london-48-1457-a.wav,It is the sound of a train moving on a railroad from a distance.
park-milan-1164-45093-a.wav,Crickets chirping in the distance.
metro_station-lyon-1167-45706-a.wav,It is the sound of a vehicle engine idling.
tram-milan-1134-42095-a.wav,This is the sound of an elevator in a building.
airport-lisbon-1000-40342-a.wav,A crowd is murmuring in the distance.
park-lyon-1188-44385-a.wav,This is the sound of a car driving on a gravel road.
metro-lisbon-1119-43117-a.wav,It is the sound of an airplane engine chugging and running throughout the duration of the clip.
airport-helsinki-3-140-a.wav,It is the sound of people murmuring in a crowded indoor location.
street_pedestrian-stockholm-157-4777-a.wav,This is the sound of footsteps on a gravel path.
street_traffic-vienna-178-5502-a.wav,This is the sound of a car passing by.
street_traffic-prague-1006-42706-a.wav,The sound is of a car passing by in the distance.
street_pedestrian-paris-154-4662-a.wav,This is a recording of a basketball game. There is a male voice commentary in the background. The sound of the ball bouncing and players running can be heard throughout the clip.
airport-barcelona-0-8-a.wav,This is the sound of people murmuring in a crowded place.
street_traffic-london-169-5164-a.wav,This is the sound of a car passing by at a moderate speed.
airport-barcelona-203-6136-a.wav,This is the sound of people walking in a crowded area.
tram-barcelona-179-5524-a.wav,It is the sound of a vehicle engine idling.
metro_station-prague-1019-43303-a.wav,"This is the sound of someone walking on a hard surface, possibly a floor, and making some noise with their steps."
airport-prague-1015-42736-a.wav,"This is the sound of a large, busy room such as a library or a transit area like an airport. There are many people talking and moving around."
park-milan-1133-40322-a.wav,This is the sound of birds chirping in the background.
bus-barcelona-210-6422-a.wav,A muffled voice is saying something in the distance.
street_pedestrian-paris-153-4641-a.wav,This is a recording of a crowd in a public space. The crowd is murmuring at a low volume.
street_pedestrian-prague-1051-42797-a.wav,"This is a recording of a large room such as a hall or a church where many people are conversing. The voices are indistinct and reverberant, indicating that the room is large and has hard surfaces that do not absorb sound well."
public_square-prague-1111-43798-a.wav,"A small vehicle motor is running, and it accelerates, then decelerates within the audio timeframe."
metro_station-london-72-2059-a.wav,A woman is coughing in the distance.
public_square-prague-1192-44657-a.wav,It is the sound of a vehicle engine idling.
street_traffic-paris-171-5247-a.wav,"
This is the sound of a car passing by at a moderate speed."
bus-vienna-219-6600-a.wav,It is the sound of a bus moving on the road.
tram-milan-1158-41382-a.wav,A vehicle engine is idling.
street_pedestrian-milan-1080-43382-a.wav,"This is the sound of a non-motorized land vehicle, specifically a bicycle."
shopping_mall-paris-257-7785-a.wav,A crowd of people are murmuring in the distance.
airport-lisbon-1114-44053-a.wav,It is the sound of people talking in a crowded indoor location.
airport-paris-206-6275-a.wav,It is the sound of an engine idling.
airport-london-6-279-a.wav,This is a sound from a park.
bus-milan-1115-42178-a.wav,It is the sound of an engine idling loudly.
metro-helsinki-221-6692-a.wav,It is the sound of a train moving on railroad tracks passing by.
shopping_mall-vienna-259-7873-a.wav,A crowded area with people talking.
metro_station-london-235-7027-a.wav,"This is a low quality, noisy recording featuring a distant, muffled female vocal talking over smooth double bass and groovy bass guitar. It sounds like it was recorded in a large room."
metro-lisbon-1121-43810-a.wav,"It is an instrumental electronic experimental piece with ambient and dark mood resembling space and soundscape including synthesizer, bass, drums, and electric guitar."
metro_station-vienna-87-2382-a.wav,It is the sound of an engine idling loudly.
airport-stockholm-11-460-a.wav,This is the sound of a bus passing by.
tram-vienna-201-6078-a.wav,This is the onomatopoeia sound of a rumble.
park-lyon-1144-43979-a.wav,This is the sound of someone walking quietly on a gravel path.
park-milan-1018-41739-a.wav,This is a recording of birds chirping in the background while a woman is speaking softly in the foreground.
public_square-vienna-253-7601-a.wav,This is the sound of a crowd in a park.
public_square-stockholm-252-7567-a.wav,This is the sound of a crowd in a public space.
public_square-milan-1168-45687-a.wav,This is the sound of water flowing continuously.
metro-stockholm-57-1682-a.wav,This is the recording of a telephone ringtone.
shopping_mall-lyon-1066-40814-a.wav,This is the sound of a store.
airport-vienna-14-590-a.wav,"This is the sound of someone walking through a very quiet area, such as a library or a museum, and moving some papers or documents around."
public_square-prague-1152-40916-a.wav,A woman is speaking softly in a crowded room.
street_pedestrian-prague-1037-43980-a.wav,A crowd of people are having a quiet conversation.
airport-paris-9-384-a.wav,It is the sound of a crowd in a large room such as a hall or auditorium.
tram-helsinki-182-5649-a.wav,This is a recording of a library environment where people are talking quietly. There is also the sound of a car engine running in the background.
public_square-london-250-7482-a.wav,This is the sound of feet walking on a wet road.
tram-stockholm-199-6003-a.wav,"This audio contains a dark and meditative ambient piece suitable for a film score with synthesizers, piano, bass, and drums."
shopping_mall-helsinki-128-3816-a.wav,This is a sound from a video game.
street_pedestrian-lyon-1072-42958-a.wav,The sound is of a crowd in a large room such as a hall or auditorium.
park-lyon-1060-41493-a.wav,It is the sound of wind blowing softly and quietly throughout the entire duration of the audio.
park-paris-244-7273-a.wav,This is a low quality recording of birds chirping in the background while a toddler is playing in the foreground.
airport-lyon-1169-44434-a.wav,"This is the sound of a large crowd of people walking and talking, possibly in a busy public space such as a city center or a transportation hub like a train station or airport."
park-helsinki-242-7209-a.wav,This is an amateur recording of birds chirping and a dog barking in the background.
public_square-milan-1044-43872-a.wav,This is the sound of a city.
metro-lyon-1201-45023-a.wav,An engine is idling.
park-lisbon-1052-43450-a.wav,Crickets chirping quietly.
metro-vienna-59-1776-a.wav,It is the sound of a train moving on railroad tracks passing by and a long blow of a horn.
airport-paris-9-379-a.wav,"This is the sound of an urban environment, specifically a crowded area with people talking and moving around. There is also the sound of a vehicle, possibly a bus, with its engine idling."
airport-lisbon-1122-42281-a.wav,residential area
bus-helsinki-19-748-a.wav,A boat motor runs and wind blows into a microphone.
public_square-vienna-122-3602-a.wav,This is a recording of birds chirping in a forest.
street_pedestrian-barcelona-261-7924-a.wav,residential area
tram-vienna-201-6085-a.wav,There is a low sounding mechanical noise accompanied by some distant murmuring.
bus-london-24-868-a.wav,The sound is of a vehicle on the road.
shopping_mall-barcelona-254-7625-a.wav,It is the sound of an engine idling.
bus-london-213-6491-a.wav,"A vehicle engine is idling, and people are murmuring in the distance."
street_pedestrian-stockholm-266-8086-a.wav,This is the sound of an urban environment during the day.
bus-vienna-39-1162-a.wav,It is the sound of a bus moving on the road.
bus-barcelona-17-692-a.wav,This is the sound of a bus moving and stopping.
park-lyon-1144-40625-a.wav,This is a recording of a park. There are sounds of birds chirping lightly throughout the entire clip.
street_traffic-lisbon-1067-41198-a.wav,"The sound is of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking."
metro-milan-1143-41159-a.wav,This is the sound of a train running on railroad tracks passing by.
shopping_mall-helsinki-255-7654-a.wav,This is a low fidelity recording of ambient noise in a city environment. There is a crowd in the distance and the ambience of a busy place.
metro_station-prague-1118-42918-a.wav,It is the sound of an engine idling.
bus-lyon-1073-43518-a.wav,It is the sound of a bus running on a bus route.
public_square-london-113-3291-a.wav,This is the sound of a crowd in a public space.
tram-lisbon-1046-42595-a.wav,The sound is of a bus running on the road.
shopping_mall-milan-1084-41353-a.wav,"A large, busy room such as a kitchen or a bar."
shopping_mall-barcelona-127-3780-a.wav,"This is the sound of a large indoor space, likely a museum or a shopping center, with several people around."
shopping_mall-paris-257-7778-a.wav,This is a recording of a large indoor space such as a school or train station where many people are talking.
airport-london-6-284-a.wav,This is a sound from a park.
shopping_mall-lisbon-1125-41718-a.wav,cafe
metro-milan-1143-43502-a.wav,It is the sound of a train moving on railroad tracks passing by.
park-helsinki-94-2604-a.wav,A dog barks and people chatter in the distance.
tram-lisbon-1191-44398-a.wav,This is the sound of a bus moving on the road with its window down.
metro_station-helsinki-66-1977-a.wav,It is the background sound of a library.
street_traffic-barcelona-268-8133-a.wav,This is the recording of an urban environment. There is a car driving by and a bird chirping in the background.
street_traffic-helsinki-166-5088-a.wav,It is the sound of a vehicle engine idling.
airport-london-205-6225-a.wav,This is a recording of a park. There are people walking and talking in the distance while birds chirp in the background.
bus-lisbon-1128-43215-a.wav,This is the sound of a bus running on the road with people murmuring in the background.
shopping_mall-stockholm-135-4073-a.wav,"A low fidelity live recording of a hip hop beat with a drum machine playing a simple beat and a e-piano playing a repeated chord progression. In the background, a crowd can be heard murmuring."
tram-london-188-5799-a.wav,It is an ambient experimental electronic piece creating a dark meditative soundscape with a synthesizer and a guitar.
street_pedestrian-stockholm-155-4694-a.wav,This is the sound of a woman singing in the background while people are having conversations.
shopping_mall-prague-1031-40945-a.wav,It is the sound of wind blowing into a microphone.
park-london-243-7261-a.wav,This is a recording of birds chirping in a forest.
airport-lisbon-1114-40219-a.wav,It is the sound of a crowd in a crowded indoor location.
airport-paris-9-411-a.wav,It is the sound of a vehicle engine idling.
street_pedestrian-lyon-1162-44971-a.wav,residential area
street_traffic-paris-172-5290-a.wav,"This is a recording of a car engine starting up, revving a couple of times and then idling."
metro_station-lyon-1028-42480-a.wav,This sound is an alarm and a car horn honking.
street_pedestrian-helsinki-262-7933-a.wav,This is the sound of a bus passing by in a city environment.
shopping_mall-london-256-7708-a.wav,"This is the sound of someone walking in a crowded indoor location, such as a mall or a busy restaurant."
shopping_mall-prague-1219-44588-a.wav,It is the sound of people talking in a crowded indoor space.
metro-lyon-1126-40830-a.wav,"It is the sound of rail transport, specifically a subway or metro or underground."
shopping_mall-london-131-3959-a.wav,It is the sound of a crowd in a large room such as a school or train station.
bus-lyon-1073-40106-a.wav,It is the sound of a vehicle running on the road and people murmuring in the background.
bus-paris-28-939-a.wav,"This is the sound of a motor vehicle on the road, specifically a bus, with engine idling and also includes the sound of a clock ticking."
street_pedestrian-barcelona-261-7919-a.wav,This is the sound of a mouse clicking continuously.
street_pedestrian-milan-1205-44244-a.wav,A crowded area with people talking and moving around.
metro-milan-1141-41540-a.wav,The low quality recording features a muffled crowd chattering in the background and it sounds like it was recorded with a phone.
bus-helsinki-19-775-a.wav,"This is an amateur recording of a slow and weird electronic piece with a dark and space-like atmosphere. It features synthesizers, bass, drums, and electric guitar."
metro_station-barcelona-230-6930-a.wav,There is a low rumbling sound in the background.
airport-lyon-1041-43521-a.wav,"This is a low quality, noisy and mono recording of birds chirping and people murmuring in the background."
public_square-prague-1075-41468-a.wav,This is the sound of a basketball bouncing as it goes in and out of a hoop.
bus-lyon-1159-43539-a.wav,A crowd of people are having a conversation.
shopping_mall-prague-1219-44298-a.wav,"This is a low quality, noisy recording of people talking in a crowded indoor space."
metro_station-barcelona-229-6909-a.wav,"This is the sound of a crowded indoor environment, possibly a library or a large hall, where many people are conversing indistinctly."
street_traffic-lyon-1220-44735-a.wav,The sound is of a car passing by quickly.
tram-vienna-202-6092-a.wav,It is the sound of a vehicle engine idling.
airport-milan-1089-40377-a.wav,People are murmuring in the distance.
park-milan-1018-40328-a.wav,This sound is of things and mechanisms.
metro_station-paris-77-2127-a.wav,This is the sound of an urban environment during the daytime. There is the hum of a bus passing by and the background noise of people talking and footsteps.
shopping_mall-helsinki-255-7669-a.wav,This is the sound of a crowd in a public space.
park-paris-100-2854-a.wav,"This is the sound of a non-motorized land vehicle, specifically a skateboard, in motion."
metro_station-milan-1117-43730-a.wav,It is the sound of an engine idling loudly.
metro-paris-52-1552-a.wav,It is the sound of something moving in the background.
public_square-stockholm-120-3536-a.wav,"The sound is of a non-motorized land vehicle, specifically a bicycle, moving on a hard surface, possibly a road."
shopping_mall-barcelona-254-7618-a.wav,A crowded area with people talking and moving around.
tram-london-186-5768-a.wav,It is the sound of a bus moving on the road.
tram-lisbon-1200-45650-a.wav,"This is the sound of a crowded indoor location, possibly a bus or train station, where many people are conversing."
park-lyon-1188-45468-a.wav,This is the sound of birds chirping in the background while a car drives by.
airport-london-205-6218-a.wav,"This is a recording of a basketball game. There is a male coach shouting at a player for not paying attention to the game. In the background, there are sounds of people talking and a ball bouncing."
street_pedestrian-helsinki-147-4432-a.wav,This is a sound recording from a park.
bus-vienna-40-1198-a.wav,It is the sound of a vehicle engine idling.
tram-prague-1210-44236-a.wav,It is the sound of a bus moving on the road.
street_traffic-london-271-8263-a.wav,This is the sound of a car passing by at a moderate speed.
shopping_mall-stockholm-137-4150-a.wav,This is the sound of a horse's hooves clicking on a hard surface.
metro-lyon-1082-40129-a.wav,"The sound is of rail transport, train, with a background of human voice and laughter."
park-helsinki-94-2639-a.wav,The sound is of someone walking through leaves.
metro-london-47-1437-a.wav,It is the sound of an elevator coming to a stop.
bus-milan-1190-45089-a.wav,It is the sound of a bus running on the road.
metro-stockholm-227-6826-a.wav,It is the sound of a bus moving on the road.
shopping_mall-milan-1084-41443-a.wav,It is the sound of people talking in a crowded indoor space.
bus-lyon-1129-43008-a.wav,This is the sound of a bus moving on the road with people murmuring in the background.
park-lisbon-1057-43709-a.wav,The sound is of birds chirping in the wind.
street_traffic-milan-1087-41874-a.wav,"The sound is of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking."
metro_station-helsinki-232-6977-a.wav,It is the humming of a vehicle engine idling.
park-lyon-1060-41383-a.wav,This is the sound of birds chirping in the distance.
public_square-vienna-253-7578-a.wav,"It is the sound of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking."
airport-lisbon-1114-42954-a.wav,"This is a low quality, noisy, and mono recording of people talking in a crowded indoor space."
shopping_mall-london-256-7735-a.wav,A crowd of people are having a quiet conversation.
shopping_mall-stockholm-258-7836-a.wav,This is a sound from a crowded indoor location.
tram-barcelona-181-5606-a.wav,A crowd of people are having a quiet conversation.
airport-barcelona-1-70-a.wav,This is a recording of a football (soccer) match. There is a male commentary in the background. The atmosphere of the crowd is loud and vibrant.
metro_station-helsinki-65-1960-a.wav,"The low quality recording features a wide, muffled female vocal talking by the window, alongside some crowd chattering in the background. It sounds like it was recorded with a phone."
airport-helsinki-204-6147-a.wav,residential area
bus-paris-28-941-a.wav,The sound is of a vehicle engine idling.
shopping_mall-london-131-3921-a.wav,It is the sound of a car alarm going off.
shopping_mall-london-256-7770-a.wav,A baby cries nearby.
airport-milan-1108-42936-a.wav,A dog barks continuously.
airport-stockholm-207-6291-a.wav,A crowd of people are murmuring in the distance.
park-lyon-1188-44300-a.wav,This sound is of a car engine idling loudly.
airport-barcelona-1-35-a.wav,This is a recording of a crowd in a public space. There is a murmuring crowd in the background. A man is speaking over the public address system.
airport-prague-1034-41420-a.wav,A crowded indoor location.
airport-helsinki-3-138-a.wav,This is the background sound of a library.
metro_station-barcelona-63-1892-a.wav,"The sound is an ambient experimental electronic piece with synthesizers and a drum machine, creating a dark meditative soundscape suitable for a film."
tram-barcelona-179-5519-a.wav,It is the sound of a bus moving on the road.
metro_station-paris-79-2153-a.wav,It is the sound of someone walking in a large room or hall.
metro-helsinki-43-1316-a.wav,This is the sound of a bus running on the road with people murmuring in the background and a honking horn.
public_square-paris-117-3443-a.wav,residential area
shopping_mall-paris-133-4004-a.wav,A crowded area with people talking.
street_pedestrian-milan-1205-44943-a.wav,"The low quality recording features a muffled conversation in the distance, after which there is a loud thud and people laughing. It sounds like it was recorded in a large room."
public_square-vienna-253-7585-a.wav,This is a recording of a park.
bus-london-21-823-a.wav,"This audio contains a background of a vehicle engine idling. A child is speaking in the foreground, and a woman can be heard saying something in the background."
street_traffic-barcelona-163-4977-a.wav,residential area
airport-paris-7-336-a.wav,It is the sound of a crowd in a large room.
street_traffic-helsinki-165-5062-a.wav,"This is a quiet, ambient piece of electronic music with a relaxing, meditative mood. It's in the key of Bb major, with a slow tempo of around 82 BPM and a 4/4 time signature. There are no vocals, but there are soothing synthesizer sounds and a subtle bass."
street_pedestrian-milan-1205-45594-a.wav,residential area
street_traffic-lyon-1045-40412-a.wav,"A small vehicle motor is running, it accelerates, and then decelerates."
airport-paris-206-6248-a.wav,It is the sound of people talking in a crowded indoor location.
metro-vienna-60-1814-a.wav,This is the sound of a bus moving on the road with a woman's voice speaking in the background through a loudspeaker.
street_pedestrian-paris-153-4639-a.wav,This is the sound of people walking in a large space such as an arena or airport.
bus-stockholm-37-1110-a.wav,This is the sound of a bus moving on the road with people murmuring in the background.
metro_station-london-72-2064-a.wav,It is the sound of a car horn honking continuously.
tram-london-278-8456-a.wav,A crowd of people are having a quiet conversation.
shopping_mall-paris-134-4062-a.wav,"This is a recording of a city environment during a quiet time. There are sounds of people walking and cars passing by. In the distance, one can faintly hear the sound of a bus."
park-lyon-1012-42675-a.wav,It is the sound of a car driving on a highway.
metro-barcelona-41-1234-a.wav,It is the sound of a vehicle engine idling.
street_pedestrian-barcelona-260-7895-a.wav,It is the sound of a subway train running on railroad tracks passing by.
public_square-london-115-3346-a.wav,This is a recording of a park. There are sounds of children playing and birds chirping. A man is speaking softly in the background.
airport-london-5-255-a.wav,"This is a sound of a horse's hooves clicking on a hard surface, likely a sidewalk or a road. The clicking is rhythmic and steady, indicating that the horse is walking at a regular pace. There is also the sound of a man speaking in the background, but his voice is muffled by the noise of the horse's hooves."
street_pedestrian-lisbon-1098-43760-a.wav,residential area
bus-lyon-1129-43309-a.wav,It is the humming of an oncoming and passing train.
tram-helsinki-183-5705-a.wav,A bus engine is idling.
tram-helsinki-184-5726-a.wav,This is the sound of an engine idling.
public_square-prague-1075-41044-a.wav,This is a sound from a park.
tram-helsinki-182-5674-a.wav,It is the sound of a vehicle engine idling.
bus-lyon-1177-44109-a.wav,"This is the sound of a vehicle, specifically a bus, with its engine idling."
bus-lyon-1124-42239-a.wav,The low quality recording features a muffled conversation in the background as a large motor vehicle engine runs.
street_pedestrian-prague-1051-43087-a.wav,This is a recording of a crowd in a public space. The crowd is murmuring at a low volume.
street_pedestrian-paris-264-8022-a.wav,This is the background sound of a library.
tram-milan-1132-40320-a.wav,"It is the sound of a vehicle, specifically a bus, with its engine idling."
street_traffic-vienna-177-5482-a.wav,The sound is of a car passing by with the sound of a clock ticking in the background.
park-paris-99-2811-a.wav,residential area
bus-london-22-832-a.wav,It is the sound of a vehicle engine idling.
metro-milan-1218-44276-a.wav,"It is an ambient experimental electronic piece with a dark meditative soundscape, including synthesizer, bass, guitar, piano, drums, and electric guitar."
airport-prague-1173-45679-a.wav,"This is a low quality recording featuring a crowded indoor environment. There is a muffled, indistinct chatter of people. A high pitched sound can also be heard."
public_square-stockholm-119-3507-a.wav,"This is the sound of a person walking on a mixture of surfaces, including pebbles, twigs, leaves, and possibly snow."
street_traffic-helsinki-166-5110-a.wav,The audio contains the sound of an engine idling loudly.
shopping_mall-prague-1219-45410-a.wav,"This is the sound of a crowded indoor space, possibly a large room or hall, where a woman is speaking and children are crying and laughing."
metro_station-vienna-240-7147-a.wav,"This is the sound of someone walking through a crowded area, such as a mall or a busy street."
tram-milan-1036-40045-a.wav,It is the sound of a train running on railroad tracks passing by.
park-paris-98-2756-a.wav,This is a recording of birds chirping and a dog barking in the distance.
airport-helsinki-4-178-a.wav,This is the sound of an underground passage in a subway station.
street_traffic-london-168-5135-a.wav,"{'description': 'a vehicle engine idles nearby', 'time_interval': '(0.00,10.00)'}"
shopping_mall-lyon-1043-43686-a.wav,It is the sound of people talking in a crowded indoor area.
street_traffic-milan-1087-41543-a.wav,The sound is of a car passing by at a fairly consistent speed.
street_pedestrian-stockholm-156-4726-a.wav,This is a live recording of an orchestra playing a waltz with a brass section holding a single chord while the strings and woodwinds move through a series of notes. There is a crowd in the background murmuring softly.
bus-helsinki-211-6454-a.wav,An engine is idling.
metro-lisbon-1119-40790-a.wav,"It is an ambient experimental electronic piece with a dark meditative soundscape, including synthesizer, bass, piano, drums, and electric guitar."
shopping_mall-prague-1009-40263-a.wav,It is the sound of people walking in a crowded area.
public_square-milan-1014-41499-a.wav,People are murmuring in the distance.
bus-stockholm-34-1027-a.wav,It is the sound of an engine idling.
street_pedestrian-paris-152-4610-a.wav,residential area
street_traffic-barcelona-161-4931-a.wav,Traffic is passing by quickly.
